TOT Global CMP22 (vent/cor) [kW-hr/m^2],MAX Global CMP22 (vent/cor) [W/m^2],AVG Tower Dry Bulb Temp [deg C],MAX Tower Dry Bulb Temp [deg C],MIN Tower Dry Bulb Temp [deg C],AVG Tower RH [%],MAX Tower RH [%],MIN Tower RH [%],AVG Total Cloud Cover [%],MAX Total Cloud Cover [%],MIN Total Cloud Cover [%],AVG Station Pressure [mBar],MAX Station Pressure [mBar],MIN Station Pressure [mBar],AVG Precipitation [mm],MAX Precipitation [mm],MIN Precipitation [mm]
19823,5400480,122034,168200,62670,178840,290500,98700,252757,990000,-10000,8071276,8117110,8017110,0,0,0
20257,6057200,55544,108100,9250,436905,681800,191300,257822,990000,-10000,8046063,8085600,8011770,0,0,0
5775,1412440,-23236,11250,-33900,923175,1001000,626700,295804,960000,-10000,8094671,8127760,8074470,0,0,0
22658,6179560,13447,98800,-60950,563746,1001000,181400,162999,970000,-10000,8062950,8114980,8016630,44,2540,0
28197,5689200,11290,61260,-32900,603969,934000,325200,20788,190000,-10000,7998836,8017530,7982170,0,0,0
13147,2734300,-61549,-30830,-81600,874304,1001000,333300,312739,970000,-10000,8017524,8062070,7970060,0,0,0
28148,5277550,-33629,18830,-77020,388803,599700,192300,78750,910000,-10000,8083150,8103570,8056840,11,2540,0
20688,7457360,-77032,-39590,-115200,535039,818000,210500,162042,980000,-10000,8130600,8163640,8089870,0,0,0
28494,6112500,37001,126500,-65890,346542,487900,216300,100653,730000,-10000,8145301,8176320,8112050,0,0,0
27020,6162670,76481,153100,22160,270606,361500,155200,80175,910000,-10000,8134467,8169110,8088800,0,0,0
16386,5257200,49151,144500,-11250,414002,1001000,165700,215567,990000,-10000,8080868,8100290,8059370,0,0,0
27336,5860300,32829,74240,-5630,349131,470600,221300,58330,600000,-10000,8077047,8115920,8010970,0,0,0
26279,5323470,40424,105700,-19500,494008,812000,281900,63250,960000,-10000,7968104,8010770,7939660,0,0,0
23891,5411560,-6420,47980,-52090,409439,822000,168400,123876,970000,-10000,7986184,8038550,7960600,0,0,0
28424,5242590,-33969,26920,-73690,272537,418400,107800,61542,860000,-10000,8081844,8106700,8036430,0,0,0
8141,2477200,-53014,-27170,-79720,689827,1002000,348400,305965,970000,-10000,8068233,8108060,8036380,0,0,0
21370,4753300,-89638,-48620,-115500,777264,1002000,535200,198727,970000,-10000,8204323,8275340,8107940,21,5080,0
30022,5264940,-80711,-20000,-117600,567261,811000,359900,17387,100000,-10000,8142073,8268250,7915060,4,2540,0
